cell_idx,dist_mean,dist_std,yaw_mean,yaw_std,count
2098,89.198940818019,116.59180658426214,143.82343292236328,49.96745857407555,2.0
2100,139.9422695376458,,84.70787048339844,,1.0
2102,87.51206105335426,43.479086321896155,95.91246541341145,2.4803157533152294,3.0
2116,243.9773532673205,9.363476117195004,78.37085270881653,85.83346267412723,2.0
2117,110.37059783870548,91.0946854826391,47.28229014078776,35.58938486666282,6.0
2129,217.9386283885227,14.022407804118542,144.82620239257812,32.83907644558719,2.0
2130,217.32964791882029,9.083600272245084,116.43074798583986,89.48240161111043,2.0
2133,51.577293972249144,,170.42575073242188,,1.0
2141,251.6707090309676,,135.11404418945312,,1.0
2142,185.99468531904998,52.60373791705931,85.42741394042969,28.429631170930083,3.0
2144,250.80032544215987,,26.124130249023438,,1.0
2145,92.87685666216566,,133.80962371826172,,1.0
2147,202.62574996459298,,128.27639770507812,,1.0
2149,76.41851745255317,56.043477069037664,90.86061859130861,0.5134659516889235,2.0
2150,137.05748558176424,,8.194427490234403,,1.0
2151,149.65418062056833,,10.707305908203125,,1.0
2158,242.05756269080985,4.709964232258158,173.64552688598633,4.956981890559031,2.0
2175,124.59507378853922,80.90431979631576,142.49403381347656,30.505707902520765,4.0
2176,109.53295268122463,65.3774876901381,84.41277149745396,56.75819987274194,7.0
2177,92.66592921357345,,175.0923767089844,,1.0
2194,92.26884813487756,90.34419253559292,73.24429702758789,84.14911948093571,4.0
2195,123.30058334346424,56.86177291642892,45.11803588867188,51.241374141421694,5.0
2196,133.96288177709204,,133.99415254592896,,1.0
2198,192.6240221505607,51.1066459087035,104.53502400716145,62.60899583896958,3.0
2199,218.64487757686555,4.92662340193522,119.55127716064453,77.42813859196086,2.0
2200,141.5748160874657,83.413417096906,74.15780448913574,52.300055865162825,6.0
2203,172.47281853785722,49.28228491114182,147.97795867919922,14.132424543525566,4.0
2204,209.45597317401516,,46.924224853515625,,1.0
2208,156.69373857623899,86.34279056998966,22.416786193847642,16.505430991324506,4.0
2213,163.60636665459256,50.333960427917475,126.81859334309895,15.390996613873233,3.0
2214,123.52043206329742,,5.029929161071777,,1.0
2215,246.71129167900338,,149.6120147705078,,1.0
2216,245.73782347682913,,44.8960876464844,,1.0
2217,165.89273409169422,82.29417970547145,107.7567833491734,64.27711513944122,7.0
